,Sl. No.,Candidate Name,State,Constituency,Gender,Age,Party,Total Electors,Turn Out(%),Candidate Votes(%),Count Of Votes
0,1,Bishnu Pada Ray ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,64,BJP,257856.0,73.81,47.8,90974
1,2,Kuldeep Rai Sharma ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,46,INC,257856.0,73.81,43.69,83152
2,3,Sanjay Meshack ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,43,AAP,257856.0,73.81,1.96,3730
3,4,Anita Mondal ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,F,48,AITC,257856.0,73.81,1.2,2283
4,5,K.G.Das ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,70,CPI(M),257856.0,73.81,0.93,1770
5,6,Prakash Minj ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,38,IND,257856.0,73.81,0.83,1579
6,7,R.S.Uma Bharatthy ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,F,49,NCP,257856.0,73.81,0.6,1141
7,8,Gour Chandra Majumder ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,47,BSP,257856.0,73.81,0.6,1141
8,9,Saravanan ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,38,IND,257856.0,73.81,0.45,856
9,10,N K P Nair ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,59,CPI(ML)(L),257856.0,73.81,0.23,437
10,11,V V Khalid ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,46,IND,257856.0,73.81,0.23,437
11,12,Raghubir Singh ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,49,SP,257856.0,73.81,0.2,380
12,13,C G Saji Kumar ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,41,IND,257856.0,73.81,0.18,342
13,14,N Kannan ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,35,IND,257856.0,73.81,0.16,304
14,15,A Pandian ,Andaman & Nicobar Islands,Andaman & Nicobar Islands,M,41,FBL,257856.0,73.81,0.12,228
15,386,"Gokaraju Ganga Raju, S/O Ranga Raju ",Andhra Pradesh,Narsapuram,M,0,BJP,1270228.0,85.73,49.62,540345
16,387,"Vanka Ravindhranath, S/O Satyanarayana ",Andhra Pradesh,Narsapuram,M,53,YSRCP,1270228.0,85.73,41.78,454970
17,388,Kanumuri Bapiraju S/O. Krishnam Raju ,Andhra Pradesh,Narsapuram,M,56,INC,1270228.0,85.73,2.49,27115
18,389,Gitadas Das W/O Hariharadas Das ,Andhra Pradesh,Narsapuram,F,28,PJD,1270228.0,85.73,2.14,23303
19,390,"Chintapalli Kanaka Rao, S/O Sriramulu ",Andhra Pradesh,Narsapuram,M,55,BSP,1270228.0,85.73,0.78,8493
20,391,"Polasapalli Saroja, W/O Cheriyan Srinivasa Rao ",Andhra Pradesh,Narsapuram,F,33,JSYP,1270228.0,85.73,0.63,6860
21,392,"Nalli Rajesh, S/O Narasimha Murthy ",Andhra Pradesh,Narsapuram,M,31,RP(K),1270228.0,85.73,0.62,6751
